TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,145423,145423,1,Majzecova basta,Majzecova basta,Rezervat prirode,Nature Reserve,National,Not Assigned,Not Applicable,0,0,0,0.27,0.5768700396,Not Applicable,0,Designated,1954,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145426,145426,1,Vinicna,Vinicna,Rezervat prirode,Nature Reserve,National,Not Assigned,Not Applicable,0,0,0,0.26,0.5815341491,Not Applicable,0,Designated,1954,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328839,328839,1,Ludasko jezero,Ludasko jezero,Rezervat prirode,Nature Reserve,National,IV,Not Applicable,0,0,0,8.46,8.58885575,Not Applicable,0,Designated,1955,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328901,328901,1,Pecina Popsicki pester,Pecina Popsicki pester,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.21,0.221466843,Not Applicable,0,Designated,1955,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328908,328908,1,Prerasti u kanjonu Vratne,Prerasti u kanjonu Vratne,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,1.45,1.501056323,Not Applicable,0,Designated,1957,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145414,145414,1,Zelenika,Zelenika,Rezervat prirode,Nature Reserve,National,Ia,Not Applicable,0,0,0,0.005,0.05386008558,Not Applicable,0,Designated,1969,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328902,328902,1,Pecina Samar,Pecina Samar,Spomenik prirode,Natural Monument,National,Not Assigned,Not Applicable,0,0,0,0,0.5610439311,Not Applicable,0,Designated,1955,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145145,145145,1,Veliki Sturac,Veliki Sturac,Rezervat prirode,Nature Reserve,National,Not Assigned,Not Applicable,0,0,0,0.08,0.08108574204,Not Applicable,0,Designated,1956,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145246,145246,1,Busovata,Busovata,Rezervat prirode,Nature Reserve,National,Not Assigned,Not Applicable,0,0,0,0.16,0.1793315919,Not Applicable,0,Designated,1956,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328909,328909,1,Kanjon reke Zamne,Kanjon reke Zamne,Spomenik prirode,Natural Monument,National,Not Assigned,Not Applicable,0,0,0,0,0.4123798875,Not Applicable,0,Designated,1957,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145399,145399,1,Kalenic,Kalenic,Rezervat prirode,Nature Reserve,National,Not Assigned,Not Applicable,0,0,0,0.02,0.01870566501,Not Applicable,0,Designated,1957,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328833,328833,1,Vinatovaca,Vinatovaca,Rezervat prirode,Nature Reserve,National,Ib,Not Applicable,0,0,0,0.37,0.4404445912,Not Applicable,0,Designated,1957,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,388831,388831,1,Park Celarevskog dvorca,Park Celarevskog dvorca,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.07,0.07709052662,Not Applicable,0,Designated,1968,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145138,145138,1,Iznad Tatalije,Iznad Tatalije,Rezervat prirode,Nature Reserve,National,Ia,Not Applicable,0,0,0,0.01,0.02529727579,Not Applicable,0,Designated,1968,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
