ID,naziv,tip,opstina,ha,ar,m2,ekoloska_mreza
219,Dud na Čenejskom salašu,Natural Monument,Novi Sad,0,2,27,"JKP Gradsko Zelenilo, Novi Sad"
220,Šam-dud,Natural Monument,Peć,0,3,0,Manastir Pećka Patrijaršija
221,Vrelo Mlave,Natural Monument,Žagubica,6,0,0,"JKP Belosavac, Žagubica"
222,Risovača,Natural Monument,Aranđelovac,13,0,0,Muzej u Aranđelovcu
223,Homoljska potajnica,Natural Monument,Žagubica,4,36,0,"JKP Belosavac, Žagubica"
224,Krupajsko vrelo,Natural Monument,Žagubica,9,0,0,"JKP Belosavac, Žagubica"
225,Vodopad Lisine,Natural Monument,Despotovac,10,0,0,"JP Resavska pećina, Despotovac"
226,Resavska pećina,Natural Monument,Despotovac,10,87,0,"JP Resavska pećina, Despotovac"
227,Đavolja Varoš,Natural Monument,Kuršumlija,67,0,0,"Preduzeće za prirodna lečilišta, turizam, ugostiteljstvo i proizvodnju ""Planinka"""
228,Bor Cara Dušana,Natural Monument,Uroševac,0,1,77,Spska pravoslavna crkva u selu Gornje Nerodimlje
229,Stablo hrasta lužnjaka Dolovo,Natural Monument,Smederevo,0,4,15,Poljoprivredni Kombinat Godomin
230,Karađorđev dud,Natural Monument,Smederevo,0,0,0,JKP Komunalac
231,Hrast lužnjak - Smederevo,Natural Monument,Smederevo,0,3,10,Sartid 1913
232,Botanička bašta Jevremovac,Natural Monument,Beograd-Stari Grad,4,81,83,Biološki fakultet Univerziteta u Beogradu - Institut za botaniku
233,Stablo hrasta cera - Počeča,Natural Monument,Požega,0,4,52,"JP Srbijašume, Novi Beograd"
234,Stablo hrasta lužnjaka Ljutice,Natural Monument,Požega,0,5,10,"JP Srbijašume, Novi Beograd"
235,Stablo hrasta lužnjaka - Bele vode,Natural Monument,Požega,0,5,31,"JP Srbijašume, Novi Beograd"
236,Grupa stabala Pet hrastova,Natural Monument,Vrnjačka Banja,0,10,75,JP za gazdovanje zaštitnim šumama i obavljanje i razvoj komunalne delatnosti Beli Izvor
237,Crni dud u Sremskim Karlovcima,Natural Monument,Sremski Karlovci,0,0,38,Mesna zajednica Sremski Karlovci
238,Šimšir u Sremskim Karlovcima,Natural Monument,Sremski Karlovci,0,2,40,Mecing Cvetko
239,Divlji kesten u Sremskim Karlovcima,Natural Monument,Sremski Karlovci,0,3,46,"Živanović Borivoje,Sremski Karlovci"
240,Dva stabla tise u dvorištu Karlovačke gimnazije,Natural Monument,Sremski Karlovci,0,2,60,Gimnazija Branko Radičević
241,Tisa u parku Patrijaršijskog dvora,Natural Monument,Sremski Karlovci,0,2,27,Srpska Patrijaršija
242,Bela topola kraj Stražilovskog potoka,Natural Monument,Sremski Karlovci,0,7,7,VPD Šajkača
243,Platan u Sremskim Karlovcima,Natural Monument,Sremski Karlovci,0,16,23,Srpska pravoslavna crkvena opština
244,Stablo kedra,Natural Monument,Beograd-Savski Venac,0,0,95,"JKP Zelenilo Beograd - Sektor održavanja zelenih površina, Beograd"
245,Lalino drvo,Natural Monument,Beograd-Savski Venac,0,4,90,"JKP Zelenilo Beograd - Sektor održavanja zelenih površina, Beograd"
246,Stablo magnolije,Natural Monument,Beograd-Savski Venac,0,1,77,"JKP Zelenilo Beograd - Sektor održavanja zelenih površina, Beograd"
247,Stablo ginka,Natural Monument,Beograd-Savski Venac,0,3,80,"JKP Zelenilo Beograd - Sektor održavanja zelenih površina, Beograd"
