ID,naziv,tip,opstina,ha,ar,m2,ekoloska_mreza
400,Mečja leska u Majdanskoj ulici,Natural Monument,Užice,0,1,81,Javno komunalno preduzeće Bioktoš
401,Bifurkacija reke Nerodimke,Nature Reserve,Uroševac,12,78,71,
402,Obedska bara,Nature Reserve,"Pećinci, Ruma",9820,0,0,"JP Vojvodinašume, Petrovaradin"
403,Jelašnička klisura,Nature Reserve,Niš,115,72,72,"JP Srbijašume, Novi Beograd"
404,Gornje Podunavlje,Nature Reserve,"Apatin, Sombor, Odžaci",1964 8,0,0,"JP Vojvodinašume, Petrovaradin"
405,Pašnjaci velike droplje,Nature Reserve,"Čoka, Kikinda",979,43,94,"Lovačko društvo Perjanica, Mokrin"
406,Karađorđevo,Nature Reserve,"Bač, Bačka Palanka",2955,32,54,"Vojna ustanova"" Karađorđevo"""
407,Klisura reke Trešnjice,Nature Reserve,Ljubovija,595,38,4,Centar za prirodne resurse NATURA
408,Slano Kopovo,Nature Reserve,Novi Bečej,976,44,89,Lovačko društvo Novi Bečej
409,Deliblatska peščara,Nature Reserve,"Alibunar, Vršac, Bela Crkva, Kovin, Požarevac",3482 9,32,0,"JP Vojvodinašume, Petrovaradin"
410,Venerina padina,Nature Reserve,Babušnica,0,27,24,"Ugostiteljsko turističko preduzeće Hotel Mir, Zvonačka Banja"
411,Uvac,Nature Reserve,"Nova Varoš, Sjenica",7543,0,0,"Društvo s ograničenom odgovornošću ""Rezervat Uvac"""
412,Ludaško jezero,Nature Reserve,Subotica,846,33,0,"JP ""Palić-Ludaš"", Palić"
413,Selevenjske pustare,Nature Reserve,"Kanjiža, Subotica",677,3,53,"JP ""Palić-Ludaš"", Palić"
414,Zasavica,Nature Reserve,"Sremska Mitrovica, Bogatić",670,99,89,Pokret gorana Sremska Mitrovica
415,Titelski breg,Nature Reserve,Titel,496,0,0,JP Titelski breg
416,Kraljevac,Nature Reserve,Kovin,264,30,0,Udruženje sportskih ribolovaca Deliblatsko jezero
417,Bagremara,Nature Reserve,Bačka Palanka,117,58,0,"JP Vojvodinašume, ŠG Novi Sad, ŠU Bagremara"
418,Gutavica,Nature Reserve,Sjenica,11,13,0,"Medžlisa islamske zajednice Sjenice, odn. Rijaset Islamske zajednice Srbije"
419,Paljevine,Nature Reserve,Sjenica,7,77,0,"JP Srbijašume, Novi Beograd"
420,Koviljsko-petrovaradinski rit,Nature Reserve,"Novi Sad, Inđija, Sremski Karlovci, Titel",5895,0,0,"JP Vojvodinašume, Petrovaradin"
421,Carska bara,Nature Reserve,Zrenjanin,4726,0,0,Ribarsko gazdinstvo Ečka a.d.
422,Felješana,Nature Reserve,Majdanpek,45,0,0,
423,Kosovski božur (Paeonia decora)- Gazimestan,Nature Reserve,Obilić,12,0,0,
424,Kaljavica,Nature Reserve,Tutin,15,0,0,
425,Stara Vratična,Nature Reserve,Sremska Mitrovica,10,30,0,
426,Raškovica,Nature Reserve,Šid,34,53,0,
427,Maja Rops,Nature Reserve,Dečani,25,0,0,
428,Kožnjar,Nature Reserve,Dečani,150,0,0,
429,Veliki Šturac,Nature Reserve,Gornji Milanovac,8,0,0,
430,Park šuma,Nature Reserve,Čajetina,12,54,0,
431,Brezna,Nature Reserve,Kraljevo,2,7,0,
432,Rtanj,Nature Reserve,Boljevac,15,0,0,
433,Brezovica- prirodno nalazište biljne vrste forzitije (Forsythia europea Deg. et Bald),Nature Reserve,Peć,38,24,0,
434,Jasenova Glava,Nature Reserve,Boljevac,6,30,0,
435,Ivanovo,Nature Reserve,Pančevo,1,50,0,
436,Jarešnik,Nature Reserve,Bosilegrad,3,0,0,
437,Čalački potok,Nature Reserve,Požega,2,57,0,
438,Crna reka,Nature Reserve,Valjevo,60,16,0,
439,Tesne jaruge,Nature Reserve,Bajina Bašta,2,92,0,
440,Iznad Tatalije,Nature Reserve,Bajina Bašta,2,16,0,
441,Velika pleć - Vražji vir,Nature Reserve,Požega,28,64,0,
442,Zelenika 1,Nature Reserve,Užice,0,12,0,
443,Zabalac,Nature Reserve,Mionica,11,8,0,
444,Mustafa,Nature Reserve,Majdanpek,79,64,0,
445,Zeleničje,Nature Reserve,"Leskovac, Crna Trava",41,70,0,
446,Klisura reke Resave,Nature Reserve,Despotovac,884,65,0,
447,Kalenić,Nature Reserve,Rekovac,2,0,0,
448,Busovata,Nature Reserve,Žagubica,15,86,0,
449,Ravništa - prirodno nalazište biljne vrste Pančićeve omorike,Nature Reserve,Prijepolje,138,45,0,
450,Kukavica,Nature Reserve,Vladičin Han,78,18,0,
451,Pogled,Nature Reserve,Tutin,16,95,0,
452,Beleg,Nature Reserve,Tutin,10,50,0,
453,Deo područja ''Klisura reke Suvaje'',Nature Reserve,Despotovac,258,91,0,
454,Šuma hrasta lužnjaka i graba kod Hajdučke česme,Nature Reserve,Beograd-Čukarica,3,48,0,
455,Varoš,Nature Reserve,Šid,38,83,0,
456,Rađenovci,Nature Reserve,Šid,86,83,0,
457,Majzecova bašta,Nature Reserve,Šid,26,91,0,
458,Vinična,Nature Reserve,Šid,26,60,0,
459,Vrh Željina - Pločka čuka,Nature Reserve,Aleksandrovac,19,68,0,
460,Ritske šume na Mačkovom prudu,Nature Reserve,Beočin,3,78,0,
461,Šuma srebrne lipe,Nature Reserve,Beograd-Čukarica,0,0,0,
