ID,tip_dobra,opis_dobra,naziv,god
135,SP,Spomenik prirode,Bjeluska potajnica,2006
136,STPR,Strogi prirodni rezervat,Crna reka,1968
137,SP,Spomenik prirode,Grupa stabala Panciceve omorike Aluske planine,1997
138,NKD,Prirodni prostor oko nepokretnog kulturnog dobra,Prirodni prostro oko manastira Prohor Pcinjski,1989
139,SP,Spomenik prirode,Pionirski park,2007
140,SP,Spomenik prirode,Cerjanska pecina,1998
141,SP,Spomenik prirode,Vodopad Lisine,1995
142,NKD,Prirodni prostor oko nepokretnog kulturnog dobra,Prirodni prostor manastira Ljubostinja,1991
143,SRP,Specijalni rezervat prirode,Klisura reke Tresnjice,1995
144,ZS,Zasticeno staniste,Bara Trskovaca,2011
145,SRP,Specijalni rezervat prirode,Titelski breg,2012
146,NKD,Prirodni prostor oko nepokretnog kulturnog dobra,Prirodni prostor kompleksa Jasunjskih manastira Sv. Jovana i Sv. Bogorodice,1989
147,PIO,Predeo izuzetnih odlika,Veliko ratno ostrvo,2005
148,SP,Spomenik prirode,Bigrena akumulacija Beli izvorac,2006
149,STPR,Strogi prirodni rezervat,Velika plec - Vrazji vir,1969
150,STPR,Strogi prirodni rezervat,Suma hrasta luznjaka i graba kod Hajducke cesme u Kosutnjaku,1981
151,STPR,Strogi prirodni rezervat,Suma srebrne lipe,1983
152,SP,Spomenik prirode,Risovaca,1995
153,SRP,Specijalni rezervat prirode,Paljevine,2011
154,STPR,Strogi prirodni rezervat,Vrh Zeljina - Plocka cuka,1985
155,SRP,Specijalni rezervat prirode,Okanj bara,2013
156,STPR,Strogi prirodni rezervat,Zabalac,1969
157,PP,Park prirode,Beljanska bara,2013
158,MPS,Memorijalni prirodni spomenik,Mackov kamen,1976
159,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu,2013
160,PP,Park prirode,Mali Vrsacki rit,2013
161,NP,Nacionalni park,Tara,1993
162,PP,Park prirode,Sargan-Mokra Gora,2005
163,SP,Spomenik prirode,Vrelo Grze,2013
164,SP,Spomenik prirode,Radanova gora,1998
165,SP,Spomenik prirode,Lipovacka suma - Dugi rt,2013
166,SP,Spomenik prirode,Obrenovacki Zabran,2013
167,SP,Spomenik prirode,Bojcinska suma,2013
168,SP,Spomenik prirode,Zemunski lesni profil,2013
169,SP,Spomenik prirode,Zvezdarska suma,2013
170,ZS,Zasticeno staniste,Gljive Ade Ciganlije,2013
171,NIR,Naucno-istrazivacki rezervat,Humka na potesu Livade,1987
172,SP,Spomenik prirode,Pecinski sistem Jezava,2006
173,SP,Spomenik prirode,Rcanske pecine,1997
174,PP,Park prirode,Ponjavica,2013
175,SRP,Specijalni rezervat prirode,Uvac,2006
176,SP,Spomenik prirode,Prebreza,2009
177,SP,Spomenik prirode,Suma Kosutnjak,2013
178,STPR,Strogi prirodni rezervat,Zelenicje,1972
179,PNPL,Predeo narocite prirodne lepote,Rajac,1963
180,SP,Spomenik prirode,Lesni profil Kapela u Batajnici,2013
181,PP,Park prirode,Rusanda,2014
182,NP,Nacionalni park,Djerdap,2013
183,SRP,Specijalni rezervat prirode,Goc-Gvozdac,2014
184,PIO,Predeo izuzetnih odlika,Kamena Gora,2014
185,SRP,Specijalni rezervat prirode,Jerma,2014
186,SP,Spomenik prirode,Vinova loza u Zemunu,2014
187,SRP,Specijalni rezervat prirode,Klisura reke Milesevke,2014
188,PIO,Predeo izuzetnih odlika,Ozren - Jadovnik,2014
189,STRP,Strogi rezervat prirode,Feljesana,2014
190,SRP,Specijalni rezervat prirode,Kukavica,2014
191,SP,Spomenik prirode,Jovacka jezera,2014
192,SRP,Specijalni rezervat prirode,Ritovi Donjeg Potisja,2014
