ID,tip_dobra,opis_dobra,naziv
1,NP,Nacionalni park,Fruska gora
2,PS,Prirodni spomenik,Park-arboretum ''Aleksa Santic''
3,SRP,Specijalni rezervat prirode,Obedska bara
4,SRP,Specijalni rezervat prirode,Ludasko jezero
5,SRP,Specijalni rezervat prirode,Carska bara
6,SP,Spomenik prirode,Platan u Sremskim Karlovcima
7,SP,Spomenik prirode,Ivanovacka ada
8,SRP,Specijalni rezervat prirode,Deliblatska pescara
9,SP,Spomenik prirode,Park celarevskog dvorca
10,SP,Spomenik prirode,Straza
11,SP,Spomenik prirode,Stari park u Vlajkovcu
12,SP,Spomenik prirode,Stari park u Velikom Gaju
13,SP,Spomenik prirode,Park dvorca u Hajducici
14,SP,Spomenik prirode,Divlјi kesten u Sremskim Karlovcima
15,STPR,Strogi prirodni rezervat,Ritske sume na  Mackovom  prudu
16,SP,Spomenik prirode,Crni dud u Sremskim Karlovcima
17,SP,Spomenik prirode,Dvorska basta u Sremskim Karlovcima
18,SVA,Spomenik vrtne arhitekture,Stari park u Novom Knezevcu
19,SP,Spomenik prirode,Simsir u Sremskim Karlovcima
20,PIO,Predeo izuzetnih odlika,Suboticka pescara
21,PP,Park prirode,Palic
22,SRP,Specijalni rezervat prirode,Gornje Podunavlјe
23,SP,Spomenik prirode,Suma Junakovic
24,PS,Prirodni spomenik,Botanicki lokalitet stepske vegetacije Carnok
25,PP,Park prirode,Ponjavica
26,SRP,Specijalni rezervat prirode,Zasavica
27,SRP,Specijalni rezervat prirode,Pasnjaci velike droplјe
28,SRP,Specijalni rezervat prirode,Karadordevo
29,SRP,Specijalni rezervat prirode,Selevenjske pustare
30,PP,Park prirode,Tikvara
31,SP,Spomenik prirode,Dunavski park
32,SRP,Specijalni rezervat prirode,Kovilјsko-petrovaradinski rit
33,PP,Park prirode,Begecka jama
34,SRP,Specijalni rezervat prirode,Slano Kopovo
35,PP,Park prirode,Kamaras
36,PP,Park prirode,Jegricka
37,SP,Spomenik prirode,Park Blandas
38,SP,Spomenik prirode,Futoski park
39,SRP,Specijalni rezervat prirode,Bagremara
40,PP,Park prirode,Stara Tisa kod Bisernog ostrva
41,SRP,Specijalni rezervat prirode,Kralјevac
42,SP,Spomenik prirode,Kamenicki park
43,ZS,Zasticeno staniste,Bara Trskovaca
44,SRP,Specijalni rezervat prirode,Titelski breg
45,SRP,Specijalni rezervat prirode,Okanj bara
46,SP,Spomenik prirode,Stabla hrasta luznjaka na Palicu
47,PP,Park prirode,Belјanska bara
48,ZS,Zasticeno staniste,Mali vrsacki rit
49,PP,Park prirode,Rusanda
50,SRP,Specijalni rezervat prirode,Ritovi donjeg Potisja
51,PIO,Predeo izuzetnih odlika,Karas - Nera
52,PS,Prirodni spomenik,Sastojina starih slavonskih hrastova Smogva
53,STPR,Strogi prirodni rezervat,Varos
54,STPR,Strogi prirodni rezervat,Stara Vraticna
55,STPR,Strogi prirodni rezervat,Radjenovci
56,STPR,Strogi prirodni rezervat,Majzecova basta
57,STPR,Strogi prirodni rezervat,Raskovica
58,STPR,Strogi prirodni rezervat,Vinicna
59,PIO,Predeo izuzetnih odlika,Vrsacke planine
60,PS,Prirodni spomenik,Bukinski hrastik
