ID,tip_dobra,opis_dobra,naziv
1,SP,Spomenik prirode,Stablo atlaskog kedra u Novom Sadu
2,SP,Spomenik prirode,Americki platan u letnjikovcu Eparhije Backe u Novom Sadu
3,SP,Spomenik prirode,Stablo Ginka (Ginko biloba L) kod hotela Park u Novom Sadu
4,SP,Spomenik prirode,Zupanijski park u Somboru
5,SP,Spomenik prirode,Stablo paulovnije (Paulownia tomentosa Thunb.) na Gladnosu
6,SP,Spomenik prirode,Stablo poljskog bresta (Ulmus minor Mill.) u ataru kod Torka
7,SP,Spomenik prirode,Dva stabla Tise (Taxus baccata L) na salasu kod Novog Orahova
8,SP,Spomenik prirode,Hrast Luznjak (Qurecus robur L.) na Petrovaradinskoj tvrdjavi
9,SP,Spomenik prirode,Stabla tise na Palicu
