ID,tip_dobra,opis_dobra,naziv
1,SP,Spomenik prirode,Gradski park u Vrscu
2,SP,Spomenik prirode,Park dvorca Jagodic
3,SP,Spomenik prirode,Drvored hrastova kod Backog Petrovog Sela
4,SP,Spomenik prirode,Park Instituta u Sremskoj Kamenici
5,SP,Spomenik prirode,Carnok
6,SP,Spomenik prirode,Jurisina humka
7,SP,Spomenik prirode,Stari park kod Sonte
8,SRP,Specijalni rezervat prirode,Zasavica
9,SRP,Specijalni rezervat prirode,Karadordevo
10,PP,Park prirode,Begecka jama
11,PP,Park prirode,Jegricka
12,SP,Spomenik prirode,Kamenicki park
13,PP,Park prirode,Mrtvaje gornjeg  Potisja
14,SP,Spomenik prirode,Park u Alibunaru
15,SP,Spomenik prirode,Lesni profil ciglane u Rumi
16,PIO,Predeo izuzetnih odlika,Potamisje
17,PIO,Predeo izuzetnih odlika,Kanjiski jarasi
18,PP,Park prirode,Backotopolske doline
19,PIO,Predeo izuzetnih odlika,Ade i odseci kod  Slankamena
20,SP,Spomenik prirode,Drvored koprivica u Radnickoj ulici
