ID,tip_dobra,opis_dobra,naziv,god
4,SP,Spomenik prirode,Stablo jasike,1997
5,SP,Spomenik prirode,Sam-dud,1995
6,SP,Spomenik prirode,Hrast Koce kapetana - (zapis),1997
7,SP,Spomenik prirode,Karadjordjev dud,1995
8,SP,Spomenik prirode,Platan u Sremskim Karlovcima,1995
9,SP,Spomenik prirode,Stablo hrasta kitnjaka - Debela granica,1997
10,SP,Spomenik prirode,Bor Cara Dusana,1995
11,SP,Spomenik prirode,Dva stabla hrasta luznjaka u okolini  manastira Zica,1997
12,SP,Spomenik prirode,Tisa u parku Patrijarsijskog dvora,1995
13,SP,Spomenik prirode,Stablo bukve Prozorac,2003
14,SP,Spomenik prirode,Visibaba - stabla luznjaka,2004
15,SP,Spomenik prirode,Visibaba - stabla luznjaka,2004
16,SP,Spomenik prirode,Visibaba - stabla luznjaka,2004
17,SP,Spomenik prirode,Visibaba - stabla luznjaka,2004
18,SP,Spomenik prirode,Stablo hrasta luznjaka (Quercus robur) poznato pod imenom Porodinsk,1968
19,SP,Spomenik prirode,Stablo hrasta luznjaka Radojkovica rast,1994
20,SP,Spomenik prirode,Cetiri stabla platana,1997
21,SP,Spomenik prirode,Grupa stabala Pet hrastova,1995
22,SP,Spomenik prirode,Hrast luznjak - Smederevo,1995
23,SP,Spomenik prirode,Stablo hrasta luznjaka Dolovo,1995
24,SP,Spomenik prirode,Stablo divoleske ili mecje leske (Corylus colurna Willd.),1970
25,SP,Spomenik prirode,Mecje leske na tru Svetog Save - Uzice,2008
26,SP,Spomenik prirode,Stablo hrasta luznjaka (Quercus robur L.)  Kolare,1970
27,SP,Spomenik prirode,Crni bor u klisuri reke Ibar,1997
28,SP,Spomenik prirode,Hrast cer Zagus zapis,2005
29,SP,Spomenik prirode,Crni bor Lira,2002
30,SP,Spomenik prirode,Grupa  stabala - Lozovik,1996
31,SP,Spomenik prirode,Munika u selu Seniste,2002
32,SP,Spomenik prirode,Stablo lipe Bela crkva,1996
33,SP,Spomenik prirode,Grupa stabala  Dobri potok,1996
34,SP,Spomenik prirode,Dva  hrasta luznjaka Vrnjci,1995
35,SP,Spomenik prirode,Hrast luznjak u Staroj Moravici,1997
36,SP,Spomenik prirode,Dva stabla tise u dvoristu Karlovacke gimnazije,1995
37,SP,Spomenik prirode,Bela topola kraj Strazilovskog potoka,1995
38,SP,Spomenik prirode,Divlji kesten u Sremskim Karlovcima,1995
39,SP,Spomenik prirode,Americki platan u Futogu,1995
40,SP,Spomenik prirode,Crni dud u Sremskim Karlovcima,1995
41,SP,Spomenik prirode,Grupa od osam stabala cera (Quercus cerris L.) - Palibrcki cerovi,1974
42,SP,Spomenik prirode,Stablo hrasta luznjaka Ljutice,1995
